publisher_id,subscriber_id,topic,send_time,recv_time,broker_recv_time,broker_send_time,dissemination
broker,sub1,b'News',1738547241558,1738547241560,ViaBroker
broker,sub1,b'Technology',1738547241561,1738547241563,ViaBroker
broker,sub1,b'News',1738547242551,1738547242551,ViaBroker
broker,sub1,b'Technology',1738547242553,1738547242553,ViaBroker
broker,sub1,b'News',1738547242557,1738547242558,ViaBroker
broker,sub1,b'Technology',1738547242558,1738547242559,ViaBroker
broker,sub1,b'News',1738547243552,1738547243554,ViaBroker
broker,sub1,b'Technology',1738547243553,1738547243555,ViaBroker
broker,sub1,b'News',1738547243560,1738547243561,ViaBroker
broker,sub1,b'Technology',1738547243562,1738547243564,ViaBroker
broker,sub1,b'News',1738547244553,1738547244555,ViaBroker
broker,sub1,b'Technology',1738547244556,1738547244556,ViaBroker
broker,sub1,b'News',1738547244559,1738547244560,ViaBroker
broker,sub1,b'Technology',1738547244561,1738547244562,ViaBroker
broker,sub1,b'News',1738547245555,1738547245556,ViaBroker
broker,sub1,b'Technology',1738547245557,1738547245558,ViaBroker
broker,sub1,b'News',1738547245561,1738547245562,ViaBroker
broker,sub1,b'Technology',1738547245562,1738547245563,ViaBroker
